atom,origin_fields
referenceCode,
legacyId,
parentId,
qubitParentSlug,zzExport__qubitParentSlug__lct
accessionNumber,
title,_kalct__sourceContactSheet
radGeneralMaterialDesignation,[=Photographic material | Records in electronic form (digitized)]
alternateTitle,
radOtherTitleInformation,
radTitleStatementOfResponsibility,
radTitleStatementOfResponsibilityNote,
radTitleAttributionsAndConjectures,
radTitleContinues,
radTitleSourceOfTitleProper,
radTitleVariationsInTitle,
radTitleParallelTitles,
levelOfDescription,[=File]
repository,
identifier,
radEdition,
radEditionStatementOfResponsibility,
radStatementOfScaleCartographic,
radStatementOfProjection,
radStatementOfCoordinates,
radStatementOfScaleArchitectural,
radIssuingJurisdiction,
extentAndMedium,
radTitleProperOfPublishersSeries,
radParallelTitlesOfPublishersSeries,
radOtherTitleInformationOfPublishersSeries,
radStatementOfResponsibilityRelatingToPublishersSeries,
radNumberingWithinPublishersSeries,
radPublishersSeriesNote,
radNoteOnPublishersSeries,
archivalHistory,
scopeAndContent,zzExport__scopeContent__uct
physicalCharacteristics,
acquisition,
arrangement,
language,[=en]
script,
languageNote,
locationOfOriginals,
locationOfCopies,
accessConditions,"[=Open, no restrictions]"
reproductionConditions,
findingAids,
relatedUnitsOfDescription,
accruals,
radNoteAccompanyingMaterial,
radNoteAlphaNumericDesignation,
radNoteConservation,
radNoteEdition,
radNotePhysicalDescription,
radNotePublishersSeries,
radNoteRights,
radStandardNumber,
subjectAccessPoints,
placeAccessPoints,
nameAccessPoints,
genreAccessPoints,
descriptionIdentifier,
institutionIdentifier,
rules,
descriptionStatus,[=Final]
levelOfDetail,
revisionHistory,
languageOfDescription,[=en]
scriptOfDescription,
sources,
publicationStatus,[=Draft]
digitalObjectPath,
digitalObjectURI,
generalNote,note__lxt
physicalObjectName,zzExport__physicalObjectName__lct
physicalObjectLocation,zzExport__physicalObjectLocation__lct
physicalObjectType,zzExport__physicalObjectType__lct
alternativeIdentifiers,
alternativeIdentifierLabels,
eventDates,date__lct
eventTypes,[=Creation]
eventStartDates,date__year__lzn
eventEndDates,date__year__lzn
eventDescriptions,
eventActors,
eventActorHistories,
eventPlaces,
culture,[=en]
